topic,industry,question
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích Idempotency và vai trò của nó trong các giao dịch thanh toán.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để thiết kế một ledger system bất biến đảm bảo audit trail đầy đủ.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Xử lý các sự cố mạng khi gửi lệnh rút tiền cho ngân hàng bên thứ ba như thế nào.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phân biệt giữa 2PC và TCC trong ngữ cảnh giao dịch tài chính phân tán.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Khi nào nên sử dụng Message Queue thay vì gRPC trong microservices tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Lưu trữ giá tiền bằng integer so với decimal: ưu nhược điểm.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách triển khai Rate Limiting để bảo vệ API giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Các rủi ro bảo mật chính trong hệ thống thanh toán và cách giảm thiểu.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Mô tả một lần bạn xử lý lỗi nghiêm trọng liên quan đến tính nhất quán dữ liệu.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế cơ sở dữ liệu cho hệ thống ví điện tử đơn giản.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để đảm bảo tính ACID khi xử lý hàng nghìn giao dịch đồng thời.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách hoạt động của Payment Gateway và các bước xác thực thanh toán.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách bạn thiết kế hệ thống webhook để nhận thông báo từ ngân hàng.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để chống double spending trong ví điện tử hoặc sổ cái.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phương pháp tối ưu hóa query trong cơ sở dữ liệu giao dịch lớn.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Sử dụng Event Sourcing để quản lý giao dịch: ưu và nhược điểm.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách hoạt động của hệ thống reconciliation giữa ngân hàng và ví điện tử.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế API thanh toán RESTful đảm bảo bảo mật và idempotency.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách bạn xử lý rollback khi một giao dịch multi-step thất bại.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Ưu điểm và nhược điểm của việc dùng NoSQL cho lưu trữ giao dịch tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để audit log đảm bảo an toàn và không thể sửa đổi.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phân biệt giữa soft delete và hard delete trong hệ thống tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách bảo vệ API chống replay attack.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Sử dụng Distributed Lock để tránh race condition trong ghi sổ cái.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế hệ thống thanh toán P2P: các lưu ý về concurrency.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phương pháp phân mảnh dữ liệu (sharding) trong database giao dịch lớn.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để implement Two-Factor Authentication (2FA) trong API thanh toán.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách quản lý secret keys và token khi gọi API ngân hàng bên ngoài.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Xây dựng hệ thống notifications cho giao dịch: push, email, webhook.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Sử dụng circuit breaker pattern để chống lỗi cascading trong microservices.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để đảm bảo tính idempotent khi retry giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách kiểm tra tính nhất quán giữa ledger và cơ sở dữ liệu người dùng.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phương pháp mã hóa dữ liệu nhạy cảm trong cơ sở dữ liệu tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Sử dụng JWT vs OAuth2 cho API tài chính: ưu nhược điểm.
